一	二三左旦丁刁下上于士干不天王且丘本甘石百
乙	乞函吃屹迄疙挖涵山弓色龟九了七丁几匕又久夕子小己已
丁	叮打钉歹可汽盯顶何呵坷奇河苛一弓次行订贮
七	它十山轧缺掏淘萄摇遥缸陶
乃	孕仍奶扔秀透户乍作妒肩怎昨柔炸诱
九	夷旭仇姨胰丸友究疚鸠为染轨大弓孝痪郑
了	予承孔弓没吼序抒乳哼烹投股疫野阎击
二	三仁云元示完言些奈宗岸一左旦夸祟票祭禁御严污
人	什仆仙伙伐休仲佃囚八欠入久内午夫尺丘矢年
儿	允中山扎仙川充秃亮初袖袍乱里裸忠
入	件任作伯傀人竹俄化仰乒低俐系趴飞疹偏赁
八	筏符答叭扒竹签爪人亥黎以猴么欠囚
几	朵冗肌凡反风吭坑抗咒杭炕凰及皮凤冬各扳投板股返
刀	召分叨初刃切份吩岔扮券忿招拐沼芬昭
刁	叼长伺帚虐司侵套浸张寻胀慧一尸屋框妇扫雪筐
力	加胁另肋男幼劣劫助协咖勇茄荔筋
匕	比旨化切它尼屁庇批昆北此皂呢花指脂能
十	穴安宋什汁针七千士丈干午丰支斗古未末早耳
卜	仆扑朴亡上下六丹文斗占主立齐玄迂迅京迫送迷退回
又	奴廷建叉友反没夜延怪候只双桑及皮冬各吴扳投板股返侵怒疫庭
三	二些仁云元示完言奈宗岸票夸祟祭云禁御严辰韭
下	卡斥丐正定拆是卜一怔症堤提钙锭非政歪匙悲
丈	仗考孝杖老者宏姥堵奢屠暑煮着
上	此卡齿迂雌柴秽卜一言逗逼些延计戚
丸	执夕九夷爹仇外名旭姨胰痛势垫挚热
凡	帆夕几冗外名朵肌丸反歹多
久	灸欠吹坎炊疚钦之次玖砍飞亩登歌
么	鬼乏刃竹傀块愧槐帘筏戈公几匆私瑰魁魄
也	他地她弛池拖快柒心木施柴筷驰
乞	疙吃屹迄乙仔你函仍仙侯挖夜人侈健涵杰像
于	吁宇污芋迂五途某伍除木一冻徐媒煤
亡	妄忘忙芒盲氓茫荒玄丐女卜亥巡弦炫畜
刃	纫刀鬼韧么分召叨初傀块愧槐切份吩岔扮券忿招拐沼
勺	勾匀惦憾心灼芍钓慷惨戈句旬甸均怯的钧愧
千	朱舌卑段乖垂盾重恬括活株啤脾
叉	又太奴宏汰友反廷没夜怪建候只雄双夕及皮冬各吴扳投延
口	吐呆句回台吉如扣杏品只右古占石叫另叮叭叨叼吆
土	吉志吐杜灶肚丑王去主里地寺坎坏垃坦埋堆块
士	宇十一完宗定宣室家富宾演宜空轩崇喧家棕嫁
夕	多外名侈丸凡歹令宛爹移麦铭
大	左有灰因尖艾丈太夭天又力凶文九父犬右史矢夷
女	如安妥奸亡奴好她奸妒妙妖妓妹姑姐始姨娃
子	仔字好李孟存孝季享厚俘籽浮朵闲孕脖荸锰
寸	付寺守村肘咐府侍封恃持射时辱尉专符尊等对
小	亦赤弓金担胆奕瞻赡赦赫
尸	匹尿己已尺户力刀刁巨乍耳司匣尼屈居届屎屏屑展
山	扎儿仙已己屯巴匕凶七出乙目炭峭崩崔
川	顺训驯袖串袜中爪州划刷蚓划引儿仲冲片介
工	汞功攻巧贡扛江肛项红缸虹筑鸿
己	已忌改凹犯危扼卷范尼屈届纪桅倦脆圈
已	己忌改凹犯危扼卷范尼屈届纪桅倦脆圈
巾	布吊帖帕市央庸帆希布帘怖帝帅席帐幅帽满帜
干	刊奸汗旱杆肝竿敢罕岸悍捍杆焊舍轩秆干橄
弓	引欠小子夕久又几了九丑丁乙夷门斗弛粥
才	材闭柏槐牙皮财木竹杉板析株豺呀披波坡芽疲被黎
丑	扭钮羞疆纽土弓闺角型王主久去夕子小丁九了几又夷乙里
丐	钙下亡妄忙忘芒卡斥玄朽盲孩茫荒
不	否示坏杯杯平奈宗歪炭尔坪胚祟票祭灭禁碳御
中	儿忠引川仲冲史巾由甲串束斗肃初盅袒袖顺里裸
丰	邦慧技按蚌梆手十峰控捷湃锋拜绑蜂抖抹挖拷拧
丹	彤脐舟雨月卜帖肪腿旁泊船雪腋漏帜霍龙垄辞
之	乏芝泛眨久贬欠次吹坎灸炊疚钦饮永今闪
予	预豫序抒野舒多侈夕矛了爹移墅
云	二耘三元示云仁魂寿至虫乓晋室屋套完言些奈宗岸昙一
井	并并屏拼并阱耕瓶普沟构饼
互	瓦汇碌录畏剥瓶氯表长奴危好侯弱辱偎喂溺绿
五	伍悟捂晤梧于本语吁宇污芋迂笨
仁	三二僵合祭但仑些拿会低伍丘元云示全命盒
什	仗估午使家人伞值十卒率
仆	位住仿依赴信倍停人企禽侦卜什仙扑伙伐休仲朴佃于
仇	姨胰九夷旭轨究佑矢侠友丸别枚知布倚矣疚疾
仍	奶扔秀乃作孕透仔仿你户乍偏诱蹂乞
今	令含念贪伐伶吟筏代伏捻铃冷俊玲俯黔
介	串佛仲芥界患伸川候条袖片人而亚事拂沸训
元	二完三云示仁玩冠寇光院
允	充儿唐康庸划统州秃亮佣塘搪慷中戈山兜列洲班蚤强乡肆
内	呐钠丙肉佣柄病纳惫月人俘确俏陋俱婿盗温
六	交滚商与咬校嘀嫡摘滴适卜金狡郊效屿举
公	钱松镀金铺戈贱么突翁蚣钓贼镰分乓勾勺伐找针浅
冗	肌股几咒胳朵舀疫帆投疯反凡吭坑役抗佩杭炕段殷
凶	匈凶汹胸大山峡酗抛崎篡夭太天屯巴文父犬出右史丈已己
分	岔忿盆贫芬份吩扮刀叨初粉券氛纷召切招沼昭赖
切	砌比匕叨初能批刀分旨屁庇昆顷招沼昭岔券忿
匀	勾勺冰均钧次冶冻准憾藏灼芍惦钓慷赃
勾	勺匀惦憾心灼芍钓慷惨戈句旬甸均怯的钧愧
勿	忽吻易物惕锡必赐踢泌剔卑怕笑愧
化	比匙倾花仙批匕它尼屁庇昆北此能靴
匹	尸层金四司匣穴尿铅匠届公尼屈居松沿屎屏屑展针
午	什仗估伞十人卒使率许缺悴掏淘萄摇摔遥
升	竹飞血箕箭夭井户牛千册乍世必才甘白皿禾立匕刀
友	又夷九仇奴旭姨桑胰反叉丸疚痪廷没究夜怪建疫候只双
及	吸圾级反阁冬各扳板返壳皮又几叛客洛降格烙疼
反	冬各扳板返叛客洛格烙疼胳略逢
天	葵严大一助侯喉援暖
夫	替扶芙失推规承手人拖牧拾拴挫抚麸撵
太	宏汰雄叉篡戈大丸夭天凶文父犬夕寸右史去丈矢
夭	吞妖沃笑奏添乔契揍凑大竹劣楔侨舔娇桥
孔	吼乳孤孩孙逊了岳危扎仙儿弱预侯桅脆溺光元
少	炒炸火妙吵抄沙秒钞熄炎竹尖劣省砂烙煌
尤	就犬稽伏吠突哭臭莽袱献
尺	家尸人雇家嫁熬放于傲稼邀
屯	囤钝盹匈顿趋汹纯胸心山吨包雏
巴	把吧邑肥芭疤笆色爸耙爬捣靶日山皂
幻	幼以乐吆玄几弦炫烁似拗畜药始叽机砾关
引	弓中仲冲邢邦那阱阻郎郁限陌陈郑川剃蚓弟第
心	勾句勺旬甸志忠芯思屯必也世匀匈忙快怯怕恨恢悄
戈	台戒床勾勺公么伐找太犬寸夕去鬼
户	乍肩怎妒作扁昨炸雇房方成乃所窄
手	扎扑扣找夫牛丰用半年羊打扒托抄抖技扶扭把拉拌拄抹拒
扎	拙摧指携手毛甩把揣撬山扑仙扣儿找批尾
支	技妓吱枝肢求取歧翅娶最鼓水十救球撮
文	吝紊纹蚊悯大卜斑交送逛辽
斗	抖科料魁蚪斜卜十连斟蝌辛卓迅莲链
斤	欣匠折听析芹近斧所祈浙斩逝斯晰
方	于放施旅族仿妨坊房肪芳旋防旁旗纺淤游傍游榜
日	昌旦明旬昔晶巴白早百门旱旺昧昨冒倡唱暗
月	朋妥肚采有明胃内丹巾用皿目册且肖受冈冗同肋肌肝肘争周
木	林朴杏杜杰困休沐床宋呆采森本未末才寸子禾于也米束东果
欠	闪久灸疚阀之弓坎吹炊钦人乏芝煞合次玖砍亩歌
止	肯歧岁企扯址武啃趾正步遣怔涉症逃赋历
歹	死列殉残殃殊殖例尸咧歼夕丁
比	批庇屁昆能匕化切北此顷尼它旨皂
毛	毯尾耗撬牛毡扎件牢牡看毫
氏	昏只低抵底婚纸民衣她忘
水	汁沐冲尿支汛汗污池汪决汰沃沙沛沽沾沫法
火	炎少尖灶灰伙杰不半米肖灼炒炊炬炸烘淡痰燃
爪	条抓从笛笔箫八爬徐川修袱
父	爸交斧爹爷咬校大金究狡郊效奕绞较
片	版牌牍串亚川哑恶介患止斤工虫北兆徘袖顺罪
牙	邪雅鸦呀芽穿蚜讶辱才撑褥材畏表长柏案闭偎喂槐
牛	牡件牢牧看牲毛生失我物拜特湃
犬	伏吠尤突臭哭莽袱献为状拔泪伪嗅默
王	弄全玖汪玫枉旺玷珊班理琳斑瑰
丙	柄病陋内呐钠肉巫佣蒙俘准纳雁确惫
世	叶惜碟心屉虚蝶谍慌葬册必甘皿立井共升屯并曲羊
且	助姐宜沮阻祖租粗同肝具直真恒组蛆锄叠
丘	乒乓岳卸兵仁全合蚯人一伍何汽仑舍哈恰拾拴洽拿
主	住拄注柱往蛀土卜注达驻进远去立丹丑六文斗王下上亡
乍	户肩怎作妒扁昨炸雇房成方乃所窄
乏	芝泛眨之贬么久欠鬼饮灸疚帘次吹坎炊钦
乎	悉呼释窃米蟋咪屎迷籽料粒粗粥粤粱
以	似幻乐幼吆瓜玄几弧狐弦炫烁畜药
付	村肘咐府符休侍附寸守寺封射尉对俯传辱专尊
仔	好俘子字李籽你存孝季锰孕乞仍休浮猛享孟厚学
他	地她弛池拖也施驰休快柒付代仔仙仆什伙伐仲佃人
仗	杖什丈估使午老者考孝值猪酵做储宏伞
代	伐伏拭式今念伪佣试袋筏贷伶腻令含忍食仓惠
令	侈今爹含念多伶移贪铃伐冷玲
仙	化催人山花什仆伙伐休仲扎佃儿乞岳
充	允亮统弃儿率述遮玄秃育母卜唐庸康划州流梳
兄	况祝兑克竞悦脱嗅锐克息税阅吕叭呈吮咱蜕兢
册	皿删栅盅血仑孟扁珊杯益盔盏盟监冈
冬	各反疼返扳板终逢客冬叛洛格烙胳略
凹	巨已己忌拒炬凸局尼届屈犯危扼改卷范矩
出	屈拙茁倔祟掘窟山微亲览撬衬揽榄
凸	巨拒炬凹局争矩协荔挣净渠胀距筝
刊	干刑划列判删利刺到刮制刹削克剥副割剩划剑刽剂
加	咖力茄胁另肋男架嘉幼劫助协劣勇荔筋贺
功	攻工巧汞助项勤贡扛江肛劲胁肋勒勘
包	刨咆抱泡炮胞苞袍跑雹饱句
匆	勿吻忽易必鬼物惕愧锡么泌剔射傀块槐赐踢魄
北	兆此比化能批雌屁庇昆死匙姚挑桃逃匕它尼
半	拳判伴卷券拌胖畔眷叛倦圈绊胜手火
卡	下上斥迂此正丐言定拆是柴逗逼齿秽
占	店沾帖玷站惦图诸京贴点口卜享哀亮亭高掠凉逞景晾豪
去	劫怯法玉丢盖戈土城埃域塘磕
可	何呵坷奇河苛阿倚寄崎荷椅畸啊
古	胡固估咕姑居沽故枯苦舌个湖辜葫
右	若匿惹君吝吞佑知智口大各裙癌群诺
召	刀招沼昭叨绍超拐初照吩券岔忿芬刃切份扮
叮	打呵订钉丁盯吁咧汽可歹或呀啄哑啊
叨	初拐吩刀分切招沼昭召叼岔券忿
叼	刁伺叨虐侵浸慧妇扫长雪词吗呢归司帚
司	石拓泵刁伺祠洞桐砸铜筒后言哈恰拾洽砂砍研
叫	吆纠收民吴吐壮妆啸叽嚷口品
另	咖男胁力肋劣勇茄加努荔幼劫助协
只	口金吩兴哄右古占石六共父小句四回匹台穴吉吐如公扣呆杏
史	吏使中大驶央陕堕薇右甲由矢夷天太夭凶文父犬巾串丈
台	或怠名苔始抬治胎感戈冶店国口域铭
句	包心拘苟钩口咆回勾旬勺甸抱泡狗品炮胞苞袍
叭	扒趴八咳呈听呼咱啤唾呜鸣兄吕筏
四	田金囚回因匹困异黄囤固穴思胃铅
囚	田界人四因回困囤固欠佃八思胃甸圃仙以什仲仆伙
外	夕多名侈移爹铭歹丸凡令宛麦
央	映英鸯秧殃巾布吊然市庸肋盅胰奥袄
