#变体	本体	本体词词频（可省略）
兴高彩列	兴高采烈	100
吹唐人	吹糖人	100
百年家具	百年家居
做为	作为
泄药	泻药
称做	称作	100
化学成份	化学成分	100
天地无垠	天地无限	100
碳素	炭素	100
欲妄	欲望
满头大汉	满头大汗
一阙	一阕	300
斗音	抖音	100
成才	成材	100
人材	人才	100
平爱	平安	100
一毛不陪	一毛不赔	200
无线大	无限大	1
正加	增加
相对得	相对地
越来越底	越来越低
逐渐的	逐渐地
慢慢的	慢慢地
曾加	增加
渐渐的	渐渐地
情怳	情况
群求	全球
程上表	承上表
帐低	降低
持续的	持续地
一值	一直
不断的	不断地
成现	呈现
家重	加重
两张片ㄦ	两张片儿
中国子	中国字
计录	记录
一落千仗	一落千丈
将下	降下
婴而	婴儿
推修	退休
要有政府	要由政府
负贵	富贵
一遍工作	一边工作
旁遍	旁边
续承	继承
约来越晚	越来越晚
提共	提供
行成	形成
读哩	独立
忙绿	忙碌
年经人	年轻人
智识	知识
一但	一旦
指摘	指责
懹人民自己选择	让人民自己选择
紧裤	辛苦
放心地生活	放心的生活
但靠一份收入	单靠一份收入
多付出地几十倍	多付出的几十倍
化钱	花钱
依些	一些
耐心的教育	耐心地教育
多某些人来说	对某些人来说
列子	例子
普便	普遍
陌生	谋生
单纯的说	单纯地说
相对得坏处	相对的坏处
改很多幼稚园	盖很多幼稚园
不断的增加	不断地增加
谈讨	探讨
小还	小孩
未普边	未普遍
考良	考量
过的不错	过得不错
手医学治疗	受医学治疗
数为至少四个人	数位至少四个人
小子化	少子化
间直	简直
每办法	没办法
青跨	情况
最总	最终
僱佣	僱用
年青人	年轻人
渐渐的形成	渐渐地形成
渐渐的增加	渐渐地增加
不断的改变	不断地改变
不断的提高	不断地提高
莫些年	某些年
成工	成功
线然	显然
一长争段	一长争短
在加上	再加上
一后	以后
自起	自己
年轻得夫妇	年轻的夫妇
真的事对	真的是对
养小还	养小孩
不彷	不妨
疏缓	舒缓
上叙	上述
或着市	或者是
学习地意愿	学习的意愿
按部就班	按步就班
全面的规划	全面地规划
纾缓	舒缓
年少气胜	年少气盛
新家坡	新加坡
按装	安装
变的很轻松	变得很轻松
我门	我们
月来越好	越来越好
发生国	发生过
以开发国家	已开发国家
以开发	已开发
赛翁失马	塞翁失马
非常的宝贵	非常地宝贵
列如	例如
非常的珍贵	非常地珍贵
个方面	各方面
二零五龄年	二零五零年
証明	证明
一间一间的关必	一间一间地关闭
缠能收割	才能收割
朗朗称道	琅琅称道
缠能拯救	才能拯救
付其责	负其责
还而	孩儿
自然而然的	自然而然地
现再	现在
一间一间的在建造	一间一间地在建造
惰胎	堕胎
给与	给予
少字化	少子化
狂大	广大
至到	直到
作些政策	做些政策
想望	向往
低免	抵免
展生	产生
源料	原料
好好的准备	好好地准备
庄况	状况
因发	引发
自记	自己
桃论	讨论
负单	负担
而以	而已
政符	政府
邀情	邀请
郑加	增加
全心全力的	全心全力地
进一份力	尽一份力
不断的努力	不断地努力
厉害关系	利害关系
相像	现象
题及	提及
剥歇	剥削
下起	下去
了所学校	各所学校
很好得一份工作	很好的一份工作
来的这么快	来得这么快
言前	眼前
所担任的是有限	所担任的事有限
放面	方面
办发	办法
有趣的说到	有趣地说到
坚帧不移	坚贞不移
心力绞碎	心力交瘁
开发看经济	开发和经济
有效的规划	有效地规划
流守	留守
生济	生计
带欠缺	但欠缺
堆动	推动
表达的是	表达的事
所以问题	所有问题
由其固定的速度	有其固定的速度
乐与减少	乐于减少
变的困难	变得困难
多馀	多于
长远的看	长远地看
血浓与水	血浓于水
表面的看	表面地看
推称出新	推陈出新
脱离萍	脱离贫
时间一天一天的过去	时间一天一天地过去
提昌	提倡
续多	许多
现进	先进
销费率	消费率
直接的被感受	直接地被感受
陪养	培养
主在乡下	住在乡下
弄多的很快	弄多得很快
他门	他们
持续的下降	持续地下降
相对的减少	相对地减少
相对的提高	相对地提高
适当的生育	适当地生育
成功的制定	成功地制定
青少年门	青少年们
慎重的希望	慎重地希望
娇傲	骄傲
亲爱的少年门	亲爱的少年们
少子华	少子化
生上	身上
不断的鼓励	不断地鼓励
具造	制造
单初	当初
发掌	发展
大幅度的提升	大幅度地提升
负担地因素	负担的因素
亘多医疗费用	更多医疗费用
餵了	为了
照成	造成
教育基精	教育基金
装造性	创造性
观察关	观察官
怎么形成地	怎么形成的
比年长者来的多	比年长者来得多
不单	不但
变的更良好	变得更良好
变的更大	变得更大
壤大众理解	让大众理解
上免得分析	上面的分析
已经再发生了	已经在发生了
带来得危机	带来的危机
恶讯循环	恶性循环
他得生活费	他的生活费
以开发地区	已开发地区
长其	长期
是时	适时
经额	金额
共多人	更多人
在过几十年	再过几十年
作为探讨	做为探讨
系根据	是根据
个中	各种
位于	为于
份公司	分公司
要作塑胶袋	要做塑胶袋
一便	一边
还不过	还不够
逃战	挑战
再服务业	在服务业
招莫	招募
坐者	坐着
仔细的观察	仔细地观察
三个凑皮匠	三个臭皮匠
个中各样	各种各样
不啻	不是
即史	即使
岂有此里	岂有此理
组宠物的人	租宠物的人
浅溥	浅薄
处里	处理
他们得不负责任的态度	他们的不负责任的态度
出租得事	出租的事
这样以来	这样一来
题高	提高
厌力	压力
形像代言人 形象代言人
化夏子孙 华夏子孙
华为泡影 化为泡影
秘密歪斜 秘密外泄
忠于等到了 终于等到了
好象是 好像是
未日来临 末日来临
眼晴 眼睛
游刀有余 游刃有余
唐僧帅徒 唐僧师徒
太概 大概
一揽子货币 一篮子货币
举足无措 手足无措
凭藉 凭借
令人發指 令人髮指
绅仕 绅士
粘豆包 黏豆包
磬竹难书 罄竹难书
严惩不怠 严惩不贷
戮力同心 勠力同心
罚角球 发角球
综合症 综合征
单独二胎 单独二孩
蛰人 蜇人
泄秘 泄密
伏法 服法
羊羯子 羊蝎子
泻湖 潟湖
家俱 家具
精萃 精粹
兴亡周期率 兴亡周期律
震憾 震撼
中华人名共和国 中华人民共和国
大人常委会 人大常委会
中国共产常 中国共产党
科学发展现 科学发展观
扶贪 扶贫
严谨公款吃喝 严禁公款吃喝
按纳	按捺
案语	按语
百废具兴	百废俱兴
百页窗	百叶窗
班白	斑白
颁白	斑白
班驳	斑驳
胞子	孢子
保镳	保镖
保母	保姆
褓姆	保姆
辈份	辈分
本份	本分
笔划	笔画
必恭必敬	毕恭毕敬
编者案	编者按
萹豆	扁豆
稨豆	扁豆
藊豆	扁豆
标识	标志
鬓脚	鬓角
禀承	秉承
补靪	补丁
补钉	补丁
参预	参与
惨澹	惨淡
差迟	差池
搀和	掺和
搀假	掺假
搀杂	掺杂
刬除	铲除
倘佯	徜徉
车箱	车厢
澈底	彻底
沈思	沉思
趁心	称心
成份	成分
澄彻	澄澈
侈糜	侈靡
